Name,Rank score,Rank Stdev (% out 2929)
CARDIAC ARREST,1.00,0.90
BONE CANCER METASTATIC,0.98,0.20
LEFT VENTRICULAR FAILURE,0.97,0.84
HIV INFECTION,0.97,0.81
ANAL CANCER,0.96,0.16
LUNG CANCER METASTATIC,0.96,1.25
HAEMORRHAGE INTRACRANIAL,0.95,2.92
CHRONIC MYELOID LEUKAEMIA,0.95,2.97
COMA,0.94,0.45
BREAST CANCER,0.94,1.18
MULTI-ORGAN FAILURE,0.94,3.30
CARDIOPULMONARY FAILURE,0.94,2.14
CARDIAC DEATH,0.94,2.19
CHRONIC LEUKAEMIA,0.94,1.66
CARDIO-RESPIRATORY ARREST,0.93,5.15
PULMONARY EMBOLISM,0.93,4.84
COMPLETED SUICIDE,0.93,4.14
METASTATIC RENAL CELL CARCINOMA,0.93,5.19
HEPATIC ANGIOSARCOMA,0.93,3.07
ANAPLASTIC THYROID CANCER,0.92,3.12
OVARIAN EPITHELIAL CANCER STAGE IV,0.91,12.62
SUDDEN CARDIAC DEATH,0.91,3.17
RIGHT VENTRICULAR FAILURE,0.91,3.12
AORTIC ANEURYSM RUPTURE,0.91,8.40
CARDIAC FAILURE ACUTE,0.91,2.07
CARDIAC FAILURE CHRONIC,0.91,4.63
THYROID CANCER,0.91,7.95
CHRONIC LYMPHOCYTIC LEUKAEMIA,0.90,1.35
VENTRICULAR FAILURE,0.90,7.14
B-CELL TYPE ACUTE LEUKAEMIA,0.90,1.72
BRONCHIOLOALVEOLAR CARCINOMA,0.90,7.61
ANEURYSM RUPTURED,0.89,11.42
RENAL CELL CARCINOMA,0.89,3.23
HAEMATOLOGICAL MALIGNANCY,0.89,1.36
ATRIOVENTRICULAR BLOCK COMPLETE,0.89,3.01
SKIN CANCER,0.89,1.21
MYOCARDIAL RUPTURE,0.89,2.59
PROSTATE CANCER METASTATIC,0.88,0.83
BRAIN OEDEMA,0.88,2.92
PULMONARY HAEMORRHAGE,0.88,2.33
INTRAVENTRICULAR HAEMORRHAGE,0.88,1.19
CEREBRAL HAEMATOMA,0.88,5.91
NECROTISING FASCIITIS,0.88,0.82
CEREBRAL ARTERY EMBOLISM,0.88,7.00
SUBARACHNOID HAEMORRHAGE,0.88,3.31
RENAL CORTICAL NECROSIS,0.88,11.99
ACUTE LYMPHOCYTIC LEUKAEMIA,0.88,3.93
SUDDEN INFANT DEATH SYNDROME,0.88,6.81
ASTROCYTOMA,0.88,16.32
STATUS EPILEPTICUS,0.88,8.21
TOXIC EPIDERMAL NECROLYSIS,0.87,9.91
PERIVENTRICULAR LEUKOMALACIA,0.87,1.63
OVARIAN CANCER,0.87,3.62
GASTRIC CANCER,0.87,1.25
ISCHAEMIC STROKE,0.87,1.09
MALIGNANT MELANOMA,0.87,10.45
VENTRICULAR DYSFUNCTION,0.87,6.16
LUNG NEOPLASM MALIGNANT,0.87,4.96
RECTAL CANCER,0.87,2.78
ACUTE PROMYELOCYTIC LEUKAEMIA,0.87,6.89
LARYNGEAL CANCER,0.87,2.32
ACUTE MYELOID LEUKAEMIA,0.87,8.60
CAROTID ARTERY THROMBOSIS,0.87,9.90
RESPIRATORY PARALYSIS,0.87,1.39
METASTASES TO LIVER,0.87,3.38
CARDIOMYOPATHY,0.87,5.48
ISCHAEMIC CEREBRAL INFARCTION,0.87,4.21
LARGE INTESTINE CARCINOMA,0.87,5.90
FOLLICULAR THYROID CANCER,0.87,22.45
AUTOIMMUNE HEPATITIS,0.87,5.90
TUBERCULOSIS,0.86,12.25
STILLBIRTH,0.86,4.38
PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,0.86,6.04
GASTROINTESTINAL STROMAL TUMOUR,0.86,5.07
ANEURYSM,0.86,2.02
CEREBRAL HAEMORRHAGE,0.86,0.81
GASTROINTESTINAL CARCINOMA,0.86,3.10
MESENTERIC ARTERY THROMBOSIS,0.86,3.17
BRAIN CANCER METASTATIC,0.86,0.51
NECROSIS,0.86,8.88
INTRA-UTERINE DEATH,0.86,13.66
