"cui","pt_code","adr","saedr_score","saedr_score_std"
"C1277265",10014190,"dry eczema",0,0.0642947445245532
"C3854465",10075267,"skin texture abnormal",0.0115224623255568,0.0709699021820734
"C0392162",10051788,"sticky skin",0.0200999343656397,0.0685775087957959
"C0235218",10040952,"skin warm",0.0215397482732474,0.0767516737731458
"C0235967",10042652,"sweat discolouration",0.0249050653177909,0.0707461561760523
"C0155177",10014194,"eczema eyelids",0.0250900292283831,0.0684759522748177
"C0474378",10019030,"hair colour changes",0.0253431703611056,0.102744534034521
"C0314719",10013774,"dry eye",0.028599155933913,0.0692699068123876
"C0263492",10052899,"ingrown hair",0.0330059485949858,0.0808297513769446
"C0859999",10037833,"dry rale",0.0434541036298572,0.0739655674827642
"C0302595",10043115,"tanning",0.0454624440745763,0.061353046679
"C3203737",10071717,"eyelid skin dryness",0.0486089767343257,0.0460499028505264
"C1096398",10055182,"eczema weeping",0.057657494074074,0.077996234169187
"C0936250",10014197,"eczema herpeticum",0.0619436327980048,0.0801076094395209
"C1167915",10059747,"hair metal test abnormal",0.0620652043513762,0.0994206400042466
"C0085656",10014201,"eczema nummular",0.064143453765667,0.0794097988603517
"C4552417",10080560,"skin weeping",0.0654800296247852,0.0473146355093459
"C0162835",10040868,"skin hypopigmentation",0.0682225766681851,0.0482971805400449
"C1399774",10064503,"excessive skin",0.0683194284780466,0.0493331927904883
"C0086196",10014198,"eczema infantile",0.0721165510596448,0.0762714210871892
"C0221244",10011859,"dandruff",0.0742811921735523,0.0675254281405243
"C0013595",10014184,"eczema",0.07436205450858,0.0786682253247981
"C0234930",10040904,"skin odour abnormal",0.0767061660983533,0.0468134060410151
"C2703066",10024552,"lip dry",0.0778472168005738,0.061565384398765
"C4228089",10081765,"sensitive skin",0.0784554884836769,0.0456215554820759
"C4049249",10076882,"rebound eczema",0.07849022416655,0.0750268188274423
"C1536047",10064482,"lip exfoliation",0.078934751156708,0.0395688794599519
"C0241181",10040851,"skin fragility",0.0791911915804276,0.0496903638645887
"C2721560",10069352,"rebound psoriasis",0.0799414961277758,0.0844926642612512
"C1449853",10076537,"papulopustular rosacea",0.0805672061255291,0.06407155020278
"C0263437",10000507,"acne infantile",0.0815583901698677,0.0563506571087598
"C0748052",10015278,"erythrodermic psoriasis",0.0818873163962147,0.0859497262389665
"C4324561",10079274,"skin indentation",0.0831531258430183,0.0440688190128121
"C0037301",10040954,"skin wrinkling",0.0840102244851766,0.0496928681790359
"C0152030",10040880,"skin irritation",0.0844800877809061,0.048894827477702
"C1449852",10076536,"erythematotelangiectatic rosacea",0.0848373360261865,0.0625525504640247
"C0027822",10029263,"neurodermatitis",0.0850023736385875,0.0726930599016744
"C0032633",10013913,"dyshidrotic eczema",0.0851503906318336,0.0725183825617453
"C0558143",10048625,"skin maceration",0.0871386769989276,0.0502516108811489
"C2939094",10070835,"skin sensitisation",0.088817938082925,0.0459757585261494
"C0241075",10051837,"skin induration",0.0896664857782068,0.0455325546568799
"C0152081",10037575,"pustular psoriasis",0.0912803300993879,0.082786992310552
"C4523830",10079592,"skin pressure mark",0.0918707698251977,0.04755605257968
"C0263457",10000502,"acne cosmetica",0.0921940374689278,0.0525592879345365
"C0346081",10072891,"skin angiosarcoma",0.0943560238783344,0.0464840786898726
"C0281981",10067868,"skin mass",0.0944463080140716,0.0486835712538011
"C0241148",10067723,"skin plaque",0.0971114452300049,0.0484982673761917
"C0241166",10050637,"skin tightness",0.0971448071871549,0.0459641294087934
"C0221245",10040849,"skin fissures",0.0976299202119224,0.0480676692327792
"C0151907",10040829,"skin discolouration",0.0977371716143288,0.0465746544187482
"C0856781",10030261,"oil acne",0.0994095650248898,0.0487655562999515
"C0426498",10049713,"tongue dry",0.0994808788316688,0.0619539343519917
"C1142078",10058681,"eczema vesicular",0.099506057348406,0.073290272779928
"C0162834",10040865,"skin hyperpigmentation",0.100398054344995,0.0448534877316189
"C0863084",10040830,"skin discomfort",0.100597843256767,0.0428608181961767
"C0237849",10040844,"skin exfoliation",0.101227492783128,0.0464568397110931
"C1536145",10064121,"eyelash hyperpigmentation",0.102380649917133,0.0454412455058544
"C0392777",10057041,"poikiloderma",0.102606852025631,0.0462844529471719
"C4523868",10079647,"eyelid vellus hair changes",0.102873124961353,0.0747660387227469
"C0028817",10051253,"ochronosis",0.103864562658233,0.0415594035440486
"C0345903",10002172,"anal skin tags",0.104679374177319,0.0523147247955922
"C0856047",10027026,"mechanical acne",0.105239873404466,0.0530184427368002
"C0151908",10013786,"dry skin",0.106504576708134,0.044562708611081
"C0263442",10000501,"acne conglobata",0.108462729868751,0.0531819165367768
"C0038814",10042496,"sunburn",0.108681292525327,0.0443079542814407
"C0234919",10037879,"rash papulosquamous",0.108985164594038,0.100306622462719
"C0011974",10012444,"dermatitis diaper",0.109093402012627,0.0801227312043084
"C1609496",10064580,"eyelid exfoliation",0.10950264865945,0.0399799111392217
"C1536053",10064488,"tongue exfoliation",0.110186966445341,0.0406712458562448
"C0234918",10037870,"rash morbilliform",0.111724232904298,0.101676784586712
"C0343052",10018797,"guttate psoriasis",0.112243690948425,0.0875629118046194
"C4049248",10076881,"rebound atopic dermatitis",0.112446133063954,0.0763523128605858
"C0263445",10049141,"acne fulminans",0.112645372420674,0.0548099986082081
"C0262977",10040825,"skin depigmentation",0.113296973746228,0.0469773594044613
"C3854363",10074976,"skin adhesion",0.113333397509259,0.0444519319823366
"C0263443",10000513,"acne pustular",0.113956072067789,0.0518000825983742
"C0152249",10000518,"acne varioliformis",0.114410441130942,0.0538792315819457
"C2609397",10069294,"product dropper calibration unreadable",0.1145735745556,0.0625278166173385
"C1142112",10058810,"eyelash thickening",0.119638359903056,0.053964387088731
"C0521161",10047111,"vasculitic rash",0.120703334793036,0.101632421778974
"C0277942",10067982,"butterfly rash",0.121313603100239,0.103746609429012
"C1739121",10064990,"brush burn",0.12161013780658,0.0496175356208738
"C0262985",10058675,"dermatitis psoriasiform",0.121930720848006,0.083687159870452
"C2609198",10069226,"product odour abnormal",0.122541280086833,0.0463613609258185
"C1519353",10037876,"rash papular",0.122754121113613,0.0951270160036878
"C0035854",10039218,"rosacea",0.124064662839067,0.0609580054098491
"C0011608",10012468,"dermatitis herpetiformis",0.12416729272992,0.0780813272000726
"C0856058",10012455,"dermatitis exfoliative aggravated",0.12417585085738,0.0878367943096285
"C0406322",10028703,"nail psoriasis",0.124598203345168,0.0864515582058525
"C0234894",10012432,"dermatitis acneiform",0.12543905351634,0.0827213563831315
"C0010495",10057064,"skin laxity",0.12594541841208,0.0450039861906214
"C2609407",10069300,"product blister packaging separated",0.126066582620052,0.0612911653867397
"C0033771",10037884,"rash pruritic",0.126793699525919,0.0929883191459455
"C0011616",10012442,"dermatitis contact",0.127015811321737,0.0758910239818425
"C2609400",10069295,"product stopper coring",0.12778819125856,0.0669166660700654
"C0152459",10040925,"skin striae",0.127869261336478,0.0453699480543673
"C1608945",10064579,"exfoliative rash",0.128056627055689,0.0949985338389404
"C2609386",10069272,"product label loose",0.129228138960761,0.0532264976008618
"C0343874",10007135,"candida nappy rash",0.129399827558325,0.0964556840474134
"C0948027",10069902,"pharmaceutical product complaint",0.130111533790071,0.0527029528540144
"C4552176",10080519,"adulterated product",0.130398062128514,0.0542109341303135
"C3873584",10075467,"flagellate dermatitis",0.130492337780611,0.0815660567870353
"C0085641",10037888,"rash pustular",0.130970598069869,0.0905024571100623
"C4728196",10081770,"product prescribing error",0.131144574677286,0.0562253392268093
"C0263449",10034541,"perioral dermatitis",0.132673189948776,0.0755457381641284
"C0558148",10048245,"yellow skin",0.132942358163285,0.0441874956262945
"C3805105",10074776,"product packaging confusion",0.133135199079671,0.0550767645132586
"C0239816",10058898,"hand dermatitis",0.133738567047056,0.0783184521302439
"C1096097",10053674,"iris exfoliation",0.133866715245619,0.0406858394744266
"C3854358",10074946,"incorrect product formulation administered",0.134138043732226,0.0603865995146724
"C3889022",10076232,"product leakage",0.13422379349566,0.0631329232455114
"C4324284",10078761,"product intolerance",0.134360498860331,0.0536470478411325
"C4727945",10081359,"product residue present",0.134495609038973,0.0539049974554901
"C3805231",10074687,"paraneoplastic rash",0.135558135071831,0.0896748943987382
"C2609357",10069232,"product dosage form imprint incorrect",0.135747812833123,0.0615328590232058
